




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
NEW LENOX PCT 018             1727                          113                           252                           386                           751                           36                            168                           180                           384                           1135                          
NEW LENOX PCT 019             2035                          157                           336                           395                           888                           43                            234                           219                           496                           1384                          
NEW LENOX PCT 020             2168                          171                           377                           441                           989                           47                            264                           224                           535                           1524                          
PEOTONE PCT 001               1454                          91                            107                           398                           596                           27                            84                            237                           348                           944                           
PEOTONE PCT 002               1483                          91                            92                            436                           619                           36                            61                            283                           380                           999                           
PLAINFIELD PCT 001            1585                          170                           264                           378                           812                           16                            96                            141                           253                           1065                          
PLAINFIELD PCT 002            1601                          126                           266                           371                           763                           27                            128                           129                           284                           1047                          
PLAINFIELD PCT 003            1490                          140                           191                           329                           660                           37                            119                           157                           313                           973                           
PLAINFIELD PCT 004            1419                          66                            139                           438                           643                           15                            63                            172                           250                           893                           
PLAINFIELD PCT 005            1441                          99                            147                           435                           681                           29                            62                            169                           260                           941                           
PLAINFIELD PCT 006            927                           46                            73                            347                           466                           8                             15                            129                           152                           618                           
PLAINFIELD PCT 007            1900                          157                           238                           530                           925                           19                            84                            177                           280                           1205                          
PLAINFIELD PCT 008            1649                          123                           310                           456                           889                           30                            118                           152                           300                           1189                          
PLAINFIELD PCT 009            1906                          157                           354                           386                           897                           40                            156                           107                           303                           1200                          
PLAINFIELD PCT 010            1236                          94                            203                           275                           572                           26                            95                            112                           233                           805                           
PLAINFIELD PCT 011            781                           45                            98                            209                           352                           6                             31                            82                            119                           471                           
PLAINFIELD PCT 012            1609                          116                           172                           476                           764                           16                            79                            179                           274                           1038                          
PLAINFIELD PCT 013            2617                          247                           447                           592                           1286                          50                            227                           244                           521                           1807                          
PLAINFIELD PCT 014            1924                          184                           374                           404                           962                           33                            126                           181                           340                           1302                          
PLAINFIELD PCT 015            1974                          208                           280                           456                           944                           46                            166                           214                           426                           1370                          
PLAINFIELD PCT 016            1735                          168                           271                           392                           831                           34                            112                           176                           322                           1153                          
PLAINFIELD PCT 017            1655                          102                           171                           426                           699                           23                            57                            179                           259                           958                           
PLAINFIELD PCT 018            1235                          80                            168                           337                           585                           12                            67                            120                           199                           784                           
PLAINFIELD PCT 019            1799                          100                           194                           574                           868                           33                            86                            215                           334                           1202                          
PLAINFIELD PCT 020            1748                          150                           246                           399                           795                           43                            111                           191                           345                           1140                          
PLAINFIELD PCT 021            1203                          84                            153                           302                           539                           29                            83                            96                            208                           747                           
PLAINFIELD PCT 022            1057                          97                            133                           271                           501                           20                            64                            89                            173                           674                           
PLAINFIELD PCT 023            1087                          72                            117                           308                           497                           17                            55                            121                           193                           690                           
PLAINFIELD PCT 024            1187                          145                           139                           324                           608                           18                            79                            123                           220                           828                           
PLAINFIELD PCT 025            1704                          108                           167                           489                           764                           29                            80                            194                           303                           1067                          
PLAINFIELD PCT 026            2036                          151                           209                           525                           885                           29                            96                            185                           310                           1195                          
PLAINFIELD PCT 027            1229                          94                            126                           375                           595                           12                            63                            128                           203                           798                           
PLAINFIELD PCT 028            1481                          99                            143                           487                           729                           16                            71                            168                           255                           984                           
PLAINFIELD PCT 029            1312                          89                            145                           339                           573                           26                            72                            134                           232                           805                           
PLAINFIELD PCT 030            1270                          113                           127                           383                           623                           17                            53                            130                           200                           823                           
PLAINFIELD PCT 031            1306                          95                            135                           325                           555                           30                            63                            115                           208                           763                           
PLAINFIELD PCT 032            1263                          94                            148                           315                           557                           15                            69                            141                           225                           782                           
PLAINFIELD PCT 033            1348                          112                           168                           305                           585                           40                            79                            155                           274                           859                           
PLAINFIELD PCT 034            1418                          90                            154                           400                           644                           6                             69                            153                           228                           872                           
PLAINFIELD PCT 035            1396                          93                            142                           417                           652                           17                            51                            135                           203                           855                           
REED PCT 001                  1467                          62                            164                           420                           646                           8                             94                            192                           294                           940                           
REED PCT 002                  1652                          109                           250                           330                           689                           28                            169                           144                           341                           1030                          
REED PCT 003                  1503                          73                            157                           449                           679                           16                            89                            213                           318                           997                           
TROY PCT 001                  2759                          177                           345                           656                           1178                          31                            135                           307                           473                           1651                          
TROY PCT 002                  1775                          130                           217                           409                           756                           15                            112                           147                           274                           1030                          
TROY PCT 003                  1220                          109                           147                           311                           567                           20                            94                            130                           244                           811                           
TROY PCT 004                  1193                          74                            159                           335                           568                           28                            79                            129                           236                           804                           
TROY PCT 005                  1080                          132                           139                           227                           498                           33                            77                            107                           217                           715                           
TROY PCT 006                  898                           81                            94                            235                           410                           22                            44                            81                            147                           557                           
TROY PCT 007                  2059                          214                           341                           398                           953                           38                            139                           185                           362                           1315                          
TROY PCT 008                  2002                          187                           300                           496                           983                           47                            111                           191                           349                           1332                          
TROY PCT 009                  1235                          99                            165                           349                           613                           21                            75                            121                           217                           830                           
TROY PCT 010                  1704                          146                           241                           383                           770                           21                            114                           183                           318                           1088                          
TROY PCT 011                  1539                          150                           283                           332                           765                           29                            102                           115                           246                           1011                          
TROY PCT 012                  862                           53                            149                           233                           435                           11                            47                            83                            141                           576                           
TROY PCT 013                  1811                          242                           408                           319                           969                           48                            172                           126                           346                           1315                          
TROY PCT 014                  1898                          191                           320                           439                           950                           41                            154                           166                           361                           1311                          
TROY PCT 015                  1257                          96                            169                           326                           591                           16                            91                            156                           263                           854                           
TROY PCT 016                  1850                          177                           370                           330                           877                           38                            138                           125                           301                           1178                          
TROY PCT 017                  1636                          145                           335                           332                           812                           35                            161                           118                           314                           1126                          
TROY PCT 018                  1525                          99                            221                           387                           707                           27                            90                            131                           248                           955                           
TROY PCT 019                  1768                          70                            265                           459                           794                           18                            86                            157                           261                           1055                          
TROY PCT 020                  1636                          123                           292                           360                           775                           23                            125                           153                           301                           1076                          
TROY PCT 021                  1701                          111                           318                           357                           786                           39                            144                           148                           331                           1117                          
TROY PCT 022                  666                           48                            96                            161                           305                           9                             49                            108                           166                           471                           
WASHINGTON PCT 001            1364                          78                            182                           329                           589                           20                            115                           165                           300                           889                           
WASHINGTON PCT 002            1682                          86                            259                           379                           724                           24                            191                           198                           413                           1137                          
WASHINGTON PCT 003            1249                          59                            173                           303                           535                           17                            122                           167                           306                           841                           
WESLEY PCT 001                1456                          90                            85                            461                           636                           23                            67                            255                           345                           981                           
WHEATLAND PCT 001             1253                          128                           177                           298                           603                           26                            81                            106                           213                           816                           
WHEATLAND PCT 002             2066                          357                           543                           231                           1131                          95                            199                           77                            371                           1502                          
WHEATLAND PCT 003             1730                          157                           324                           332                           813                           32                            109                           114                           255                           1068                          
WHEATLAND PCT 004             1997                          163                           369                           351                           883                           20                            127                           102                           249                           1132                          
WHEATLAND PCT 005             1804                          169                           372                           316                           857                           37                            135                           91                            263                           1120                          
WHEATLAND PCT 006             1297                          147                           236                           287                           670                           26                            108                           98                            232                           902                           
WHEATLAND PCT 007             1337                          137                           307                           227                           671                           26                            117                           92                            235                           906                           
WHEATLAND PCT 008             1323                          147                           223                           320                           690                           26                            93                            86                            205                           895                           
WHEATLAND PCT 009             1537                          176                           354                           288                           818                           37                            116                           109                           262                           1080                          
WHEATLAND PCT 010             1365                          150                           265                           233                           648                           37                            104                           98                            239                           887                           
WHEATLAND PCT 011             1747                          203                           409                           253                           865                           35                            129                           69                            233                           1098                          
WHEATLAND PCT 012             1684                          135                           421                           213                           769                           17                            134                           53                            204                           973                           
WHEATLAND PCT 013             1319                          153                           307                           179                           639                           19                            134                           62                            215                           854                           
WHEATLAND PCT 014             1556                          170                           355                           245                           770                           48                            150                           88                            286                           1056                          
WHEATLAND PCT 015             1533                          159                           324                           230                           713                           51                            153                           80                            284                           997                           
WHEATLAND PCT 016             1560                          143                           299                           293                           735                           26                            132                           121                           279                           1014                          
WHEATLAND PCT 017             1035                          132                           181                           216                           529                           17                            63                            49                            129                           658                           
WHEATLAND PCT 018             1509                          165                           329                           267                           761                           22                            133                           85                            240                           1001                          
WHEATLAND PCT 019             1127                          117                           196                           251                           564                           15                            53                            79                            147                           711                           
WHEATLAND PCT 020             1303                          98                            218                           253                           569                           25                            84                            130                           239                           808                           
WHEATLAND PCT 021             1353                          127                           290                           246                           663                           28                            112                           100                           240                           903                           
WHEATLAND PCT 022             1849                          183                           331                           440                           954                           26                            89                            159                           274                           1228                          
WHEATLAND PCT 023             1821                          178                           288                           483                           949                           25                            85                            163                           273                           1222                          
WHEATLAND PCT 024             1898                          184                           348                           396                           928                           40                            133                           151                           324                           1252                          
WHEATLAND PCT 025             1686                          127                           274                           422                           823                           32                            121                           150                           303                           1126                          
WHEATLAND PCT 026             2137                          247                           366                           441                           1054                          64                            168                           185                           417                           1471                          
WHEATLAND PCT 027             1136                          110                           208                           263                           581                           28                            75                            80                            183                           764                           
WHEATLAND PCT 028             1917                          180                           300                           449                           929                           41                            170                           176                           387                           1316                          
WHEATLAND PCT 029             1767                          163                           268                           420                           851                           41                            155                           163                           359                           1210                          
WHEATLAND PCT 030             1760                          161                           235                           468                           864                           29                            113                           199                           341                           1205                          
WHEATLAND PCT 031             1378                          154                           219                           289                           662                           18                            82                            99                            199                           861                           
WHEATLAND PCT 032             1752                          159                           309                           404                           872                           34                            103                           114                           251                           1123                          
WHEATLAND PCT 033             1653                          175                           258                           413                           846                           21                            81                            124                           226                           1072                          
WHEATLAND PCT 034             1362                          132                           223                           309                           664                           14                            82                            135                           231                           895                           
WHEATLAND PCT 035             1067                          147                           247                           143                           537                           22                            94                            67                            183                           720                           
WHEATLAND PCT 036             1425                          155                           239                           320                           714                           52                            131                           92                            275                           989                           
WHEATLAND PCT 037             1427                          137                           303                           238                           678                           29                            105                           97                            231                           909                           
WHEATLAND PCT 038             1162                          146                           184                           261                           591                           18                            62                            78                            158                           749                           
WILL PCT 001                  1134                          56                            66                            318                           440                           40                            94                            225                           359                           799                           
WILMINGTON PCT 001            1348                          77                            91                            339                           507                           34                            62                            164                           260                           767                           
WILMINGTON PCT 002            1112                          72                            66                            305                           443                           10                            45                            190                           245                           688                           
WILMINGTON PCT 003            1320                          75                            74                            435                           584                           26                            67                            184                           277                           861                           
WILTON PCT 001                588                           25                            43                            197                           265                           9                             16                            122                           147                           412                           
Totals:                       441483                        35826                         68838                         98496                         203160                        7819                          32387                         41218                         81424                         284584                        

                                                                                                                                         GARCIA RETENTION (Vote For 1)
                                                            YES                                                                                                                     NO                                                                                                                      
Precinct                      Registered Voters             Vote by Mail                  Early Voting                  Election Day                  Choice Total                  Vote by Mail                  Early Voting                  Election Day                  Choice Total                  Total                         
CHANNAHON PCT 001             1407                          110                           258                           332                           700                           18                            152                           162                           332                           1032                          
CHANNAHON PCT 002             1790                          141                           305                           430                           876                           51                            182                           217                           450                           1326                          
CHANNAHON PCT 003             1538                          119                           244                           343                           706                           32                            127                           172                           331                           1037                          
CHANNAHON PCT 004             1224                          75                            192                           333                           600                           18                            113                           162                           293                           893                           
CHANNAHON PCT 005             1591                          99                            215                           415                           729                           26                            131                           190                           347                           1076                          
CRETE PCT 001                 1253                          69                            145                           308                           522                           23                            57                            123                           203                           725                           
CRETE PCT 002                 1368                          83                            150                           309                           542                           28                            59                            118                           205                           747                           
CRETE PCT 003                 1292                          94                            177                           247                           518                           27                            90                            117                           234                           752                           
CRETE PCT 004                 1283                          118                           214                           277                           609                           37                            89                            107                           233                           842                           
CRETE PCT 005                 1303                          103                           231                           299                           633                           26                            78                            125                           229                           862                           
CRETE PCT 006                 1268                          128                           234                           247                           609                           41                            69                            126                           236                           845                           
CRETE PCT 007                 1206                          122                           217                           326                           665                           32                            61                            106                           199                           864                           
CRETE PCT 008                 1364                          92                            221                           326                           639                           26                            101                           138                           265                           904                           
CRETE PCT 009                 1213                          96                            174                           248                           518                           22                            102                           115                           239                           757                           
CRETE PCT 010                 1020                          68                            96                            216                           380                           33                            62                            104                           199                           579                           
CRETE PCT 011                 1068                          87                            142                           211                           440                           20                            105                           136                           261                           701                           
CRETE PCT 012                 1019                          62                            124                           234                           420                           16                            106                           144                           266                           686                           
CUSTER PCT 001                930                           58                            67                            270                           395                           26                            59                            170                           255                           650                           
DUPAGE PCT 001                1620                          160                           262                           374                           796                           35                            118                           131                           284                           1080                          
DUPAGE PCT 002                1406                          175                           258                           274                           707                           39                            112                           91                            242                           949                           
DUPAGE PCT 003                1483                          161                           305                           257                           723                           60                            112                           100                           272                           995                           
